Runtime,Comparisons,Swaps
Unsorted
6590969,2496997851,99990
6692558,2496997851,99990
6750700,2496997851,99990
6584036,2496997851,99990
6455061,2496997851,99990
6529677,2496997851,99990
6254867,2496997851,99990
6360813,2496997851,99990
6297430,2496997851,99990
6521740,2496997851,99990
Sorted
468,99999,0
481,99999,0
490,99999,0
494,99999,0
503,99999,0
507,99999,0
517,99999,0
497,99999,0
487,99999,0
494,99999,0
